Archive:  macit.zip
 Length  Method   Size  Ratio   Date    Time   CRC-32     Name
 ------  ------   ----  -----   ----    ----   ------     ----
    116  Defl:N      95  18%  02-22-92  12:49  b882898f   TESTI2.MAC
   5085  Defl:N    1488  71%  02-27-92  18:36  519ee4a6   TTWRITE.MAC
    223  Defl:N      78  65%  02-22-92  12:49  7bcf5607   TESTI.MAC
    400  Defl:N     256  36%  02-22-92  12:49  4b55f939   URPO.MAC
   4376  Defl:N    1692  61%  02-22-92  12:49  3decbb14   TURSKA.MAC
   1815  Defl:N     893  51%  02-26-92  19:54  924c7805   TTREAD.MAC
   2098  Defl:N     994  53%  02-22-92  12:50  510cbe24   NUMA.MAC
    394  Defl:N     258  35%  02-22-92  12:50  035f6af8   ESIM.MAC
    842  Defl:N     437  48%  02-22-92  12:50  e1d84846   RAD50TOA.MAC
   1810  Defl:N     848  53%  02-22-92  12:50  73856460   SYSTEM.MAC
   1085  Defl:N     469  57%  02-22-92  12:50  3df31507   GETUIC.MAC
   2666  Defl:N    1202  55%  02-22-92  12:50  054d4130   SHUIC.MAC
   1463  Defl:N     747  49%  02-22-92  12:50  d7fe3bc5   SPADE.MAC
   9507  Defl:N    2766  71%  03-12-92  03:04  fe7a338b   INTBUF.MAC
   2098  Defl:N     994  53%  02-22-92  13:55  510cbe24   NUMA0001.MAC
   2034  Defl:N     972  52%  02-22-92  13:55  8cf23e7e   NUMA2.MAC
    483  Defl:N     175  64%  02-22-92  15:32  5d53049e   MULTEST.LOG
   4823  Defl:N    1225  75%  02-23-92  04:22  cd73ad44   MULTEST.MAC
   1349  Defl:N     677  50%  07-07-90  23:31  c7e434de   INTOUT32.A11
   1045  Defl:N     528  50%  02-26-92  14:51  75a18e68   INTOUT.MAC
   1054  Defl:N     403  62%  02-22-92  21:46  d2d358b3   DIV.ASM
   5045  Defl:N    1404  72%  02-23-92  08:24  b99c48e4   MULTEST1.MAC
   5124  Defl:N    1427  72%  02-26-92  10:09  711dcf61   MULTEST2.MAC
   1490  Defl:N     428  71%  02-26-92  10:13  4abbc735   MULTEST2.LOG
   5138  Defl:N    2045  60%  02-23-92  05:09  7bba820a   INT32BUF.LST
   1569  Defl:N     441  72%  02-23-92  08:18  ac9ffd59   MULTEST1.LOG
  39769  Defl:N   10139  75%  03-12-92  16:12  7577d371   OBO.MAC
  16462  Defl:N    2125  87%  03-12-92  17:56  1ac01104   OBOTEST.LOG
   2285  Defl:N     967  58%  03-11-92  13:28  7a96a169   PETO.LOG
   7408  Defl:N     753  90%  03-12-92  17:54  e3ae306c   OBOTEST.TXT
   1651  Defl:N     535  68%  03-12-92  18:23  be925776   OBOTEST.ASH
     54  Defl:N      38  30%  03-12-92  18:20  b9b8fe52   ASH.OB1
    115  Defl:N     108   6%  03-12-92  18:19  23b000d5   ASH.OB2
     53  Defl:N      34  36%  03-12-92  18:08  6df083b0   ASH.OB0
    114  Defl:N     107   6%  03-12-92  18:19  14c92785   ASH.OB3
 ------          ------  ---                              -------
 131043           37748  71%                              35     
