Archive:  ode11etc.zip
 Length  Method   Size  Ratio   Date    Time   CRC-32     Name
 ------  ------   ----  -----   ----    ----   ------     ----
   1856  Implode    976  47%  06-10-90  00:49  467e11c0   allocmem.c
    243  Shrunk     205  16%  05-16-92  20:56  77c226b7   ansicode.esc
     53  Shrunk      42  21%  03-12-92  18:08  6df083b0   ash.ob0
     54  Shrunk      48  11%  03-12-92  18:20  b9b8fe52   ash.ob1
    115  Stored     115   0%  03-12-92  18:19  23b000d5   ash.ob2
    114  Stored     114   0%  03-12-92  18:19  14c92785   ash.ob3
    225  Shrunk     133  41%  07-02-90  08:12  09dd7abf   atoi.o11
     16  Shrunk      15   6%  01-17-80  07:34  bf7da9c6   avanti1.o11
     57  Shrunk      44  23%  01-17-80  07:33  bd08a77e   avanti2.o11
     75  Shrunk      58  23%  01-17-80  08:12  eafbbe18   avanti3.o11
     75  Shrunk      58  23%  01-17-80  08:14  79933e9a   avanti4.o11
    152  Shrunk      92  40%  01-17-80  12:25  6d2327ff   avanti5.o11
    131  Shrunk      81  38%  01-17-80  08:44  3eb194c8   avanti5.org
    152  Shrunk      92  40%  01-17-80  12:39  f463c090   avanti6.o11
    151  Shrunk      92  39%  09-01-90  02:11  90dcdd03   avanti7.o11
    181  Shrunk     106  41%  09-02-90  14:37  99d0b1c7   avanti8.o11
    297  Shrunk     212  29%  09-05-90  01:19  d3caf761   avanti9.o11
   3429  Implode    764  78%  12-23-90  18:16  10d08e09   boot.exa
   2455  Implode   1189  52%  01-01-80  00:14  af1b0f9b   convert.c
   2650  Implode   1152  57%  10-12-92  23:48  e63eead6   creatabl.c
    192  Shrunk     110  43%  02-23-92  05:20  579b4290   divby10.o11
  56254  Implode  14180  75%  10-13-92  01:24  014bb7d0   e11.asm
   1013  Implode    512  50%  05-21-92  02:58  9a0099cc   echo1.dmp
    152  Shrunk     105  31%  05-21-92  02:38  cdc12a03   echo1.o11
    120  Shrunk      78  35%  05-21-92  02:50  b4789579   echo1.tst
   7218  Implode   3094  57%  10-16-90  04:29  cb884023   emulidea.txt
     49  Shrunk      44  10%  02-07-92  23:51  dbccf250   epso.bat
   4226  Implode   2135  50%  06-01-90  03:49  568e18a3   extensio.txt
  14867  Implode   1541  90%  10-12-92  23:47  919eeefc   flagtabs.asm
   6513  Implode   1874  71%  04-06-90  04:55  067afdd5   fontpack.c
   1152  Implode    666  42%  03-13-92  01:03  789c8fa8   getlin.mac
   5095  Implode   1939  62%  06-10-90  00:59  06faa783   getnchar.asm
   2845  Implode   1303  54%  12-28-90  06:00  2a97eb74   hex2bin.c
   9424  Implode   5713  39%  12-28-90  06:00  ac55006b   hex2bin.exe
   1721  Implode    674  61%  12-23-90  00:47  5922c48c   hobol.c
   8720  Implode   5411  38%  12-23-90  00:48  56a3a914   hobol.exe
    242  Shrunk     147  39%  05-21-92  01:52  2718e700   inbuf.o11
  37911  Implode   3253  91%  10-13-92  00:51  c2fd95b9   instrtab.asm
