Archive:  savit.zip
 Length  Method   Size  Ratio   Date    Time   CRC-32     Name
 ------  ------   ----  -----   ----    ----   ------     ----
   9657  Defl:N    2990  69%  01-02-91  13:23  07b9d7b8   RECHEX.MAC
   1536  Defl:N     538  65%  12-08-90  03:10  392a6417   INTOUT.MAC
    512  Defl:N      96  81%  12-08-90  03:10  d276e9f8   AVANTI.MAC
    512  Defl:N      75  85%  12-08-90  03:10  948226c1   CONTST.MAC
   1024  Defl:N     317  69%  12-08-90  03:11  27dff397   TESTI2.MAC
    512  Defl:N      73  86%  12-08-90  03:10  56bdc3cd   CONTS2.MAC
    512  Defl:N     226  56%  12-08-90  03:10  b9aa892c   HELLO2.MAC
  11045  Defl:N    1834  83%  12-31-90  03:10  704d136e   M.MAC
  11776  Defl:N    5989  49%  12-25-90  23:07  94f2e52c   PIP.SAV
  20992  Defl:N   12118  42%  12-25-90  23:07  ffe1bbc0   LINK.SAV
  26112  Defl:N   15565  40%  12-31-90  01:14  a35949b7   MACRO.SAV
  30720  Defl:N   15914  48%  12-25-90  23:07  dfb8abe2   KED.SAV
  54784  Defl:N   15554  72%  12-25-90  23:08  9d036e34   HELP.SAV
   9216  Defl:N    6499  30%  12-25-90  23:08  e0eea788   FILEX.SAV
   9728  Defl:N    5276  46%  12-25-90  23:08  b40192e9   EDIT.SAV
  11264  Defl:N    5753  49%  12-25-90  23:07  e50df33c   LIBR.SAV
  10240  Defl:N    6133  40%  12-25-90  23:07  dd8ccc75   SIPP.SAV
   8704  Defl:N    4577  47%  12-25-90  23:08  c049e527   DIR.SAV
   3072  Defl:N    1562  49%  12-25-90  23:08  8a28b1f3   CREF.SAV
  28672  Defl:N   18884  34%  12-25-90  23:08  7083c03d   BASIC1.SAV
   6656  Defl:N    4893  27%  12-25-90  23:08  a41fe31b   PIP2.SAV
  11264  Defl:N    7527  33%  12-25-90  23:08  1cc626f5   ORBIT.SAV
   9216  Defl:N    5560  40%  12-25-90  23:08  853d5f86   EDIT2.SAV
   2560  Defl:N    1521  41%  12-25-90  23:08  264408fe   DUMP2.SAV
   2560  Defl:N    1571  39%  12-25-90  23:08  18e78820   CREF2.SAV
  20992  Defl:N   11369  46%  12-25-90  23:08  1282b620   DUP.SAV
   4096  Defl:N    1599  61%  12-25-90  23:08  c6688637   DUMP.SAV
   7680  Defl:N    4428  42%  12-08-90  03:10  d02e587a   RESORC.SAV
   1024  Defl:N      54  95%  12-08-90  03:10  eb83c3dc   AVANTI.SAV
   1024  Defl:N     283  72%  12-08-90  03:11  d1e53711   TESTI2.SAV
  18432  Defl:N   13073  29%  12-08-90  03:10  4f6da260   BASIC2.SAV
   9728  Defl:N    4144  57%  12-08-90  03:10  e34fd9e1   FORMAT.SAV
   1024  Defl:N     128  88%  12-08-90  03:10  a45d2209   HELLO2.SAV
  22528  Defl:N     640  97%  12-08-90  03:11  dc0d0a4b   STCOPY.SAV
   1024  Defl:N     178  83%  12-08-90  03:10  4f126ba8   CSIGEN.SAV
   5632  Defl:N    2355  58%  10-13-92  02:33  ddca3425   OBO.SAV
 ------          ------  ---                              -------
 376030          179296  52%                              36     
